"DrugBankID","ENTREZID","Symbol"
"DB08916",5260,"PHKG1"
"DB00513",2,"A2M"
"DB00513",2346,"FOLH1"
"DB00513",2925,"GRPR"
"DB00513",462,"SERPINC1"
"DB00513",5340,"PLG"
"DB00513",5327,"PLAT"
"DB00513",4018,"LPA"
"DB00928",59,"ACTA2"
"DB00928",9510,"ADAMTS1"
"DB00928",154,"ADRB2"
"DB00928",174,"AFP"
"DB00928",55109,"AGGF1"
"DB00928",196,"AHR"
"DB00928",26289,"AK5"
"DB00928",207,"AKT1"
"DB00928",210,"ALAD"
"DB00928",213,"ALB"
"DB00928",200316,"APOBEC3F"
"DB00928",60489,"APOBEC3G"
"DB00928",366,"AQP9"
"DB00928",367,"AR"
"DB00928",2909,"ARHGAP35"
"DB00928",9181,"ARHGEF2"
"DB00928",417,"ART1"
"DB00928",51676,"ASB2"
"DB00928",490,"ATP2B1"
"DB00928",527,"ATP6V0C"
"DB00928",6790,"AURKA"
"DB00928",586,"BCAT1"
"DB00928",598,"BCL2L1"
"DB00928",23786,"BCL2L13"
"DB00928",636,"BICD1"
"DB00928",664,"BNIP3"
"DB00928",701,"BUB1B"
"DB00928",719,"C3AR1"
"DB00928",81688,"C6orf62"
"DB00928",796,"CALCA"
"DB00928",800,"CALD1"
"DB00928",843,"CASP10"
"DB00928",836,"CASP3"
"DB00928",841,"CASP8"
"DB00928",8900,"CCNA1"
"DB00928",890,"CCNA2"
"DB00928",891,"CCNB1"
"DB00928",595,"CCND1"
"DB00928",894,"CCND2"
"DB00928",901,"CCNG2"
"DB00928",29126,"CD274"
"DB00928",991,"CDC20"
"DB00928",8476,"CDC42BPA"
"DB00928",999,"CDH1"
"DB00928",983,"CDK1"
"DB00928",1017,"CDK2"
"DB00928",1019,"CDK4"
"DB00928",1026,"CDKN1A"
"DB00928",1028,"CDKN1C"
"DB00928",1029,"CDKN2A"
"DB00928",1030,"CDKN2B"
"DB00928",1050,"CEBPA"
"DB00928",1058,"CENPA"
"DB00928",1063,"CENPF"
"DB00928",79172,"CENPO"
"DB00928",1113,"CHGA"
"DB00928",4261,"CIITA"
"DB00928",9071,"CLDN10"
"DB00928",9074,"CLDN6"
"DB00928",9073,"CLDN8"
"DB00928",54805,"CNNM2"
"DB00928",7373,"COL14A1"
"DB00928",1277,"COL1A1"
"DB00928",1293,"COL6A3"
"DB00928",1339,"COX6A2"
"DB00928",1363,"CPE"
"DB00928",10815,"CPLX1"
"DB00928",1385,"CREB1"
"DB00928",1390,"CREM"
"DB00928",1446,"CSN1S1"
"DB00928",1471,"CST3"
"DB00928",1472,"CST4"
"DB00928",6387,"CXCL12"
"DB00928",1543,"CYP1A1"
"DB00928",1544,"CYP1A2"
"DB00928",1545,"CYP1B1"
"DB00928",1576,"CYP3A4"
"DB00928",9267,"CYTH1"
"DB00928",1612,"DAPK1"
"DB00928",1634,"DCN"
"DB00928",1674,"DES"
"DB00928",1660,"DHX9"
"DB00928",1734,"DIO2"
"DB00928",8788,"DLK1"
"DB00928",1750,"DLX6"
"DB00928",1786,"DNMT1"
"DB00928",1806,"DPYD"
"DB00928",1843,"DUSP1"
"DB00928",1848,"DUSP6"
"DB00928",1869,"E2F1"
"DB00928",1915,"EEF1A1"
"DB00928",1944,"EFNA3"
"DB00928",1959,"EGR2"
"DB00928",2026,"ENO2"
"DB00928",953,"ENTPD1"
"DB00928",2099,"ESR1"
"DB00928",2113,"ETS1"
"DB00928",2138,"EYA1"
"DB00928",9415,"FADS2"
"DB00928",51439,"FAM8A1"
"DB00928",356,"FASLG"
"DB00928",2192,"FBLN1"
"DB00928",2237,"FEN1"
"DB00928",2252,"FGF7"
"DB00928",2308,"FOXO1"
"DB00928",2534,"FYN"
"DB00928",2560,"GABRB1"
"DB00928",1647,"GADD45A"
"DB00928",4616,"GADD45B"
"DB00928",2634,"GBP2"
"DB00928",2651,"GCNT2"
"DB00928",2697,"GJA1"
"DB00928",2788,"GNG7"
"DB00928",27238,"GPKOW"
"DB00928",10457,"GPNMB"
"DB00928",2987,"GUK1"
"DB00928",3002,"GZMB"
"DB00928",3005,"H1-0"
"DB00928",3014,"H2AX"
"DB00928",8290,"H3-4"
"DB00928",121504,"H4-16"
"DB00928",3081,"HGD"
"DB00928",3082,"HGF"
"DB00928",3087,"HHEX"
"DB00928",3122,"HLA-DRA"
"DB00928",3159,"HMGA1"
"DB00928",8091,"HMGA2"
"DB00928",6927,"HNF1A"
"DB00928",3172,"HNF4A"
"DB00928",3198,"HOXA1"
"DB00928",3248,"HPGD"
"DB00928",3297,"HSF1"
"DB00928",3310,"HSPA6"
"DB00928",3397,"ID1"
"DB00928",3399,"ID3"
"DB00928",3458,"IFNG"
"DB00928",3484,"IGFBP1"
"DB00928",3487,"IGFBP4"
"DB00928",3593,"IL12B"
"DB00928",3553,"IL1B"
"DB00928",3558,"IL2"
"DB00928",3565,"IL4"
"DB00928",3569,"IL6"
"DB00928",3570,"IL6R"
"DB00928",81689,"ISCA1"
"DB00928",3688,"ITGB1"
"DB00928",3689,"ITGB2"
"DB00928",6744,"ITPRID2"
"DB00928",11004,"KIF2C"
"DB00928",3802,"KIR2DL1"
"DB00928",3803,"KIR2DL2"
"DB00928",3804,"KIR2DL3"
"DB00928",3805,"KIR2DL4"
"DB00928",3809,"KIR2DS4"
"DB00928",3811,"KIR3DL1"
"DB00928",1316,"KLF6"
"DB00928",354,"KLK3"
"DB00928",3880,"KRT19"
"DB00928",3882,"KRT32"
"DB00928",3856,"KRT8"
"DB00928",3913,"LAMB2"
"DB00928",3945,"LDHB"
"DB00928",3987,"LIMS1"
"DB00928",9516,"LITAF"
"DB00928",1241,"LTB4R"
"DB00928",4069,"LYZ"
"DB00928",8379,"MAD1L1"
"DB00928",4100,"MAGEA1"
"DB00928",4102,"MAGEA3"
"DB00928",4130,"MAP1A"
"DB00928",5607,"MAP2K5"
"DB00928",4137,"MAPT"
"DB00928",4174,"MCM5"
"DB00928",9656,"MDC1"
"DB00928",4193,"MDM2"
"DB00928",4204,"MECP2"
"DB00928",1953,"MEGF6"
"DB00928",4237,"MFAP2"
"DB00928",4255,"MGMT"
"DB00928",4288,"MKI67"
"DB00928",4312,"MMP1"
"DB00928",4318,"MMP9"
"DB00928",9643,"MORF4L2"
"DB00928",22921,"MSRB2"
"DB00928",10797,"MTHFD2"
"DB00928",23517,"MTREX"
"DB00928",4609,"MYC"
"DB00928",4747,"NEFL"
"DB00928",4772,"NFATC1"
"DB00928",116496,"NIBAN1"
"DB00928",1482,"NKX2-5"
"DB00928",54413,"NLGN3"
"DB00928",9111,"NMI"
"DB00928",64434,"NOM1"
"DB00928",4867,"NPHP1"
"DB00928",3164,"NR4A1"
"DB00928",8204,"NRIP1"
"DB00928",51299,"NRN1"
"DB00928",4907,"NT5E"
"DB00928",4922,"NTS"
"DB00928",51203,"NUSAP1"
"DB00928",55916,"NXT2"
"DB00928",100506658,"OCLN"
"DB00928",55074,"OXR1"
"DB00928",5021,"OXTR"
"DB00928",5034,"P4HB"
"DB00928",5047,"PAEP"
